Prod Name,Color,Rating,Price,RAM,Screen,Rear Camera,Front Camera,Memory,Battery,Processor
"Realme C3 ( 32GB , 3 GB )",Blue,3.0,9999,3 GB,16.51 cm (6.5),12 MP,5 MP,32GB,5000,Octa
"Realme C2 ( 32GB , 2 GB )",Blue,4.1,9990,2 GB,15.49 cm (6.1),13 MP,5 MP,32GB,4000,Octa
"itel A25 pro ( 32GB , 2 GB )",Green,4.0,5599,2 GB,12.7 cm (5),5 MP,2 MP,32GB,3020,Quad
"Honor 9S ( 32GB , 2 GB )",Blue,3.0,6949,2 GB,13.716 cm (5.4),8 MP,5 MP,32GB,3020,Octa
"Redmi Note 9 pro max ( 64GB , 6 GB )",Blue,Currently Unavailable,18199,6 GB,16.76 cm (6.6),64MP,32 MP,64GB,5000,Octa
"Redmi 9 Prime ( 64GB , 4 GB )",Green,4.5,10799,4 GB,16.51 cm (6.5),13MP+8MP+2MP,8 MP,64GB,5020,Octa
"Panasonic i8 ( 32GB , 3 GB )",Black,3.7,8499,3 GB,15.74 cm (6.2),13 MP,8 MP,32GB,4000,Octa
"Karbonn k310n ( 256 MB , 256 MB )",Blue,3.2,899,256 MB,4.826 cm (1.9),2 MP,No,256 MB,1000,Dual
"Redmi 8A Dual ( 32GB , 3 GB )",Grey,3.5,8599,3 GB,15.74 cm (6.2),13 MP,8 MP,32GB,5000,Octa
"TECNO SPARK 6 AIR ( 32GB , 2 GB )",Black,5.0,7999,2 GB,17.27 cm (6.8),13 MP,8 MP,32GB,6000,Quad
"Realme 7 ( 64GB , 6 GB )",Blue,Currently Unavailable,16149,6 GB,16.51 cm (6.5),64MP,16 MP,64GB,5000 mAh,Octa
"Realme 6 ( 64GB , 6 GB )",White,5.0,15400,6 GB,16.51 cm (6.5),16MP+8MP+2MP,16 MP,64GB,4300,Octa
"Realme C11 ( 32GB , 2 GB )",Grey,4.5,8990,2 GB,16.51 cm (6.5),13MP+2MP,5 MP,32GB,5000,Octa
"Redmi NOTE 8 PRO ( 128GB , 6 GB )",White,4.6,17495,6 GB,16.51 cm (6.5),48 MP,20 MP,128GB,4500 mAh,Octa
"YU YUREKA MICROMAX YU5040 ( 32GB , 4 GB )",Black,5.0,8499,4 GB,12.7 cm (5),13 MP,8 MP,32GB,3000,Octa
"INFINIX Hot 9 Pro ( 64GB , 4 GB )",Blue,4.0,11999,4 GB,16.76 cm (6.6),48 MP,8 MP,64GB,5000,Octa
"Redmi Redmi 9 ( 64GB , 4 GB )",Blue,Currently Unavailable,9699,4 GB,16.51 cm (6.5),13MP+2MP,5 MP,64GB,5000,Octa
"Samsung M01 core ( 16GB , 1 GB )",Red,3.0,7000,1 GB,13.462 cm (5.3),8 MP,16 MP,16GB,3000,Octa
"Realme C11 ( 32GB , 2 GB )",Green,4.4,7999,2 GB,16.51 cm (6.5),13 MP,5 MP,32GB,5000,Octa
"Realme C3 ( 32GB , 3 GB )",Grey,3.0,8995,3 GB,16.51 cm (6.5),12 MP,5 MP,32GB,5000,Octa
"Redmi Note 9 Pro ( 128GB , 4 GB )",Black,5.0,15799,4 GB,17 cm (6.7),48MP+8MP+2MP+2MP,16 MP,128GB,5036 mAh,Octa
"Realme REALME 5 PRO ( 64GB , 6 GB )",Blue,4.4,15999,6 GB,16 cm (6.3),48MP+8MP+2MP+2MP,16 MP,64GB,4035 mAh,Octa
"Samsung Galaxy M11 ( 32GB , 3 GB )",Black,5.0,11299,3 GB,16.25 cm (6.4),13 MP,8 MP,32GB,5000,Octa
"Redmi 8A Dual ( 32GB , 2 GB )",Blue,3.6,7599,2 GB,15.74 cm (6.2),13 MP,2 MP,32GB,5000,Octa
"REDMI 8A SEA BLUE ( 32GB , 2 GB )",Blue,Currently Unavailable,8299,2 GB,15.74 cm (6.2),13 MP,2 MP,32GB,5000,Quad
"INFINIX Hot 9 Pro ( 64GB , 4 GB )",Purple,4.0,11499,4 GB,16.76 cm (6.6),48 MP,8 MP,64GB,5000,Octa
"Swipe Elite Star ( 16GB , 1 GB )",Black,2.9,4199,1 GB,10.16 cm (4),5 MP,1.3 MP,16GB,2000,Quad
"INFINIX Hot 9 ( 64GB , 4 GB )",Blue,2.5,10499,4 GB,16.76 cm (6.6),13 MP,8 MP,64GB,5000,Octa
"Redmi Note 9 Pro ( 64GB , 4 GB )",Gold,2.0,15990,4 GB,17 cm (6.7),48MP+8MP+2MP+2MP,16 MP,64GB,5030 mAh,Octa
"OnePlus 3 ( 64 MB , 6 GB )",Grey,1.0,14499,6 GB,13.97 cm (5.5),16 MP,8 MP,64 MB,3000,Quad
"Redmi Note 9 ( 128GB , 4 GB )",Black,4.0,14499,4 GB,16.51 cm (6.5),48 MP,13 MP,128GB,5020,Octa
"Redmi Note 9 Pro ( 64GB , 4 GB )",White,2.0,13999,4 GB,17 cm (6.7),48MP+8MP+2MP+2MP,16 MP,64GB,5030 mAh,Octa
"Samsung Galaxy M01 ( 32GB , 3 GB )",Blue,2.8,9495,3 GB,14.478 cm (5.7),13MP+2MP,5 MP,32GB,4000,Octa
"Redmi 9A ( 32GB , 3 GB )",Green,2.5,8199,3 GB,16.76 cm (6.6),13 MP,5 MP,32GB,5000,Octa
"Poco M2 ( 64GB , 6 GB )",Red,1.0,11649,6 GB,16.51 cm (6.5),13 MP,8 MP,64GB,5000,Octa
"Redmi Note 9 Pro ( 64GB , 4 GB )",Blue,2.0,15098,4 GB,17 cm (6.7),48MP+8MP+2MP+2MP,16 MP,64GB,5030 mAh,Octa
"Realme Narzo 20 Pro ( 64GB , 6 GB )",Ninja,Currently Unavailable,16199,6 GB,16.51 cm (6.5),48 MP,16 MP,64GB,4500,Octa
"Realme 6i ( 64GB , 6 GB )",White,2.0,15400,6 GB,16.51 cm (6.5),48MP+8MP+2MP+2MP,16 MP,64GB,4300,Octa
"Redmi 9i ( 64GB , 4 GB )",Black,2.0,8999,4 GB,16.51 cm (6.5),13 MP,5 MP,64GB,6000,Octa
"Realme 6i ( 64GB , 6 GB )",Black,2.0,14999,6 GB,16.51 cm (6.5),48MP+8MP+2MP+2MP,16 MP,64GB,4300,Octa
"Redmi Note 9 ProMax ( 64GB , 6 GB )",White,1.0,18299,6 GB,17 cm (6.7),64MP + 13MP + 8MP + 2MP,32 MP,64GB,5041 mAh,Octa
"INFINIX Hot 9 ( 64GB , 4 GB )",Purple,2.5,10999,4 GB,16.76 cm (6.6),13 MP,8 MP,64GB,5000,Octa
"Redmi Note 9 Pro ( 64GB , 4 GB )",Black,2.0,13999,4 GB,17 cm (6.7),48MP+8MP+2MP+2MP,16 MP,64GB,5030 mAh,Octa
"Oppo Reno3 Pro ( 256GB , 8 GB )",Blue,Currently Unavailable,27990,8 GB,16.4 cm (6.44),64MP + 13MP + 8MP + 2MP,44MP+2MP,256GB,4025 mAh,Quad
"Realme X2 ( 64GB , 4 GB )",Blue,Currently Unavailable,17999,4 GB,16.25 cm (6.4),64MP,32 MP,64GB,4000,Octa
"1 Iphone 6 ( 16GB , 1 GB )",Gold,Currently Unavailable,16169,1 GB,11.938 cm (4.7),8 MP,1.2 MP,16GB,1810 mAh,Dual
